ac_code	description	item_group	base_uom
AK  ARO - BE HP BD LT PSTV ENR	AKE AH AROMACH - BE HAPPY BODY LOTION PSTV ENRG	DIFFUSER	UNIT
AK  ARO - BE HP BD WASH PSTV E	AKE AH AROMACH - BE HAPPY BODY WASH PSTV ENRG	DIFFUSER	UNIT
AK  ARO - BE HP CDL MD LIFT	AKE AH AROMACH - BE HAPPY CANDLE MOOD LIFT	DIFFUSER	UNIT
AK  ARO - BE HP CDL PSTV ENRG	AKE AH AROMACH - BE HAPPY CANDLE PSTV ENRG	DIFFUSER	UNIT
AK  ARO - BE HP CDL PURE JOY	AKE AH AROMACH - BE HAPPY CANDLE PURE JOY	DIFFUSER	UNIT
AK  ARO - BE HP HD CRM MD LIFT	AKE AH AROMACH - BE HAPPY HAND CREAM MOOD LIFT	DIFFUSER	UNIT
AK  ARO - BE HP HD CRM PSTV EN	AKE AH AROMACH - BE HAPPY HAND CREAM PSTV ENRG	DIFFUSER	UNIT
AK  ARO - BE HP RD DFSR MD LIF	AKE AH AROMACH - BE HAPPY REED DFSR MOOD LIFT	DIFFUSER	UNIT
AK  ARO - BE HP RD DFSR PSTV E	AKE AH AROMACH - BE HAPPY REED DFSR PSTV ENRG	DIFFUSER	UNIT
AK  ARO - BE HP RD DFSR PURE J	AKE AH AROMACH - BE HAPPY REED DFSR PURE JOY	DIFFUSER	UNIT
AK  ARO - BE HP RM SPRY MD LIF	AKE AH AROMACH - BE HAPPY RM SPRY MOOD LIFT	DIFFUSER	UNIT
AK  ARO - BE HP RM SPRY PSTV E	AKE AH AROMACH - BE HAPPY RM SPRY PSTV ENRG	DIFFUSER	UNIT
AK  ARO - BE HP RM SPRY PURE J	AKE AH AROMACH - BE HAPPY RM SPRY PURE JOY	DIFFUSER	UNIT
AK  ARO - DE-STR BD LT RESTORE	AKE AH AROMACH - DE-STRESS BODY LOTION RESTORE	DIFFUSER	UNIT
AK  ARO - DE-STR BD WASH RESTO	AKE AH AROMACH - DE-STRESS BODY WASH RESTORE	DIFFUSER	UNIT
AK  ARO - DE-STR CDL CALM	AKE AH AROMACH - DE-STRESS CANDLE CALM	DIFFUSER	UNIT
AK  ARO - DE-STR CDL MEDITATE	AKE AH AROMACH - DE-STRESS CANDLE MEDITATE	DIFFUSER	UNIT
AK  ARO - DE-STR CDL RESTORE	AKE AH AROMACH - DE-STRESS CANDLE RESTORE	DIFFUSER	UNIT
AK  ARO - DE-STR HD CRM MEDITA	AKE AH AROMACH - DE-STRESS HAND CREAM MEDITATE	DIFFUSER	UNIT
AK  ARO - DE-STR HD CRM RESTOR	AKE AH AROMACH - DE-STRESS HAND CREAM RESTORE	DIFFUSER	UNIT
AK  ARO - DE-STR RD DFSR CALM	AKE AH AROMACH - DE-STRESS REED DFSR CALM	DIFFUSER	UNIT
AK  ARO - DE-STR RD DFSR MEDIT	AKE AH AROMACH - DE-STRESS REED DFSR MEDITATE	DIFFUSER	UNIT
AK  ARO - DE-STR RD DFSR RESTO	AKE AH AROMACH - DE-STRESS REED DFSR RESTORE	DIFFUSER	UNIT
AK  ARO - DE-STR RM SPRY CALM	AKE AH AROMACH - DE-STRESS RM SPRY CALM	DIFFUSER	UNIT
AK  ARO - DE-STR RM SPRY MEDIT	AKE AH AROMACH - DE-STRESS RM SPRY MEDITATE	DIFFUSER	UNIT
AK  ARO - DE-STR RM SPRY RESTO	AKE AH AROMACH - DE-STRESS RM SPRY RESTORE	DIFFUSER	UNIT
AK  ARO - SLP BTT BD LT DEEP R	AKE AH AROMACH - SLEEP BETTER BODY LOTION DEEP REST	DIFFUSER	UNIT
AK  ARO - SLP BTT BD WASH DEEP	AKE AH AROMACH - SLEEP BETTER BODY WASH DEEP REST	DIFFUSER	UNIT
AK  ARO - SLP BTT CDL DRM CCHR	AKE AH AROMACH - SLEEP BETTER CANDLE DRM CCHR	DIFFUSER	UNIT
AK  ARO - SLP BTT CDL WIND DOW	AKE AH AROMACH - SLEEP BETTER CANDLE WIND DOWN	DIFFUSER	UNIT
AK  ARO - SLP BTT HD CRM DEEP	AKE AH AROMACH - SLEEP BETTER HAND CREAM DEEP REST	DIFFUSER	UNIT
AK  ARO - SLP BTT HD CRM DRM C	AKE AH AROMACH - SLEEP BETTER HAND CREAM DRM CCHR	DIFFUSER	UNIT
AK  ARO - SLP BTT RD DFSR DRM	AKE AH AROMACH - SLEEP BETTER REED DFSR DRM CCHR	DIFFUSER	UNIT
AK  ARO - SLP BTT RD DFSR WIND	AKE AH AROMACH - SLEEP BETTER REED DFSR WIND DOWN	DIFFUSER	UNIT
AK  ARO - SLP BTT RM SPRY DRM	AKE AH AROMACH - SLEEP BETTER RM SPRY DRM CCHR	DIFFUSER	UNIT
AK  ARO - SLP BTT RM SPRY WIND	AKE AH AROMACH - SLEEP BETTER RM SPRY WIND DOWN	DIFFUSER	UNIT
AK- ESSENTIAL BOLSTER	AKEMI SOFT BOLSTER	ACC	UNIT
AK- LTX CLS PIL	MTO LATEX CLASSIC PILLOW	ACC	UNIT
AK- SL ES WP QLT FIT MP (K)	AKE SL. ESSENTIAL WATERPROOF QUILTED FITTED MATT PROTECTOR (KING)	ACC	UNIT
AK- SL ES WP QLT FIT MP (Q)	AKE SL. ESSENTIAL WATERPROOF QUILTED FITTED MATT PROTECTOR (QUEEN)	ACC	UNIT
AK- SL ES WP QLT FIT MP (SS)	AKE SL. ESSENTIAL WATERPROOF QUILTED FITTED MATT PROTECTOR (SUPER SINGLE)	ACC	UNIT
AK-AF AM CL GRY 4KFIT	AKE AFFINITY AMORI CLEAN GREY FITTED SHEET SET (KING)	BEDLINES	SET
AK-AF AM CL GRY 4QFIT	AKE AFFINITY AMORI CLEAN GREY FITTED SHEET SET (QUEEN)	BEDLINES	SET
AK-AF LE CK BLU 4KFIT	AKE AFFINITY LEEANN CORKY BLUE FITTED SHEET SET (KING)	BEDLINES	SET
AK-AF LE CK BLU 4QFIT	AKE AFFINITY LEEANN CORKY BLUE FITTED SHEET SET (QUEEN)	BEDLINES	SET
AK-AF LE CR MINI 4KFIT	AKE AFFINITY LEEANN CREAM MINI FITTED SHEET SET (KING)	BEDLINES	SET
AK-AF LE CR MINI 4QFIT	AKE AFFINITY LEEANN CREAM MINI FITTED SHEET SET (QUEEN)	BEDLINES	SET
AK-AF RM CBS BRW 4KFIT	AKE AFFINITY RIMINI COBBLESTONE BROWN FITTED SHEET SET (KING)	BEDLINES	UNIT
AK-AF RM CBS BRW 4QFIT	AKE AFFINITY RIMINI COBBLESTONE BROWN FITTED SHEET SET (QUEEN)	BEDLINES	UNIT
AK-AF RM LQ KHK 3SSFIT	AKE AFFINITY RIMINI LACQUER KHAKI FITTED SHEET SET (SUPER SINGLE)	BEDLINES	UNIT
AK-AF RM LQ KHK 4KFIT	AKE AFFINITY RIMINI LACQUER KHAKI FITTED SHEET SET (KING)	BEDLINES	SET
AK-AF RM LQ KHK 4QFIT	AKE AFFINITY RIMINI LACQUER KHAKI FITTED SHEET SET (QUEEN)	BEDLINES	SET
AK-AF RM LQ KHK 5KQLT	AKE AFFINITY RIMINI LACQUER KHAKI QUILT COVER SET (KING)	BEDLINES	UNIT
AK-AF RM LQ KHK 5QQLT	AKE AFFINITY RIMINI LACQUER KHAKI QUILT COVER SET (QUEEN)	BEDLINES	UNIT
AK-AF RM MIL BLU 4KFIT	AKE AFFINITY RIMINI MILKY BLUE FITTED SHEET SET (KING)	BEDLINES	UNIT
AK-AF RM MIL BLU 4QFIT	AKE AFFINITY RIMINI MILKY BLUE FITTED SHEET SET (QUEEN)	BEDLINES	UNIT
AK-AF RM PE PNK 3SSFIT	AKE AFFINITY RIMINI PEONY PINK FITTED SHEET (SUPER SINGLE)	BEDLINES	UNIT
AK-AF RM PE PNK 4KFIT	AKE AFFINITY RIMINI PEONY PINK FITTED SHEET (KING)	BEDLINES	SET
AK-AF RM PE PNK 4QFIT	AKE AFFINITY RIMINI PEONY PINK FITTED SHEET (QUEEN)	BEDLINES	SET
AK-AF RM PL CRM 3SSFIT	AKE AFFINITY RIMINI PILLAR CREAM FITTED SHEET SET (SUPER SINGLE)	BEDLINES	UNIT
AK-AF RM PL CRM 4KFIT	AKE AFFINITY RIMINI PILLAR CREAM FITTED SHEET SET (KING)	BEDLINES	UNIT
AK-AF RM PL CRM 4QFIT	AKE AFFINITY RIMINI PILLAR CREAM FITTED SHEET SET (QUEEN)	BEDLINES	UNIT
AK-AF RM PL CRM 5KQLT	AKE AFFINITY RIMINI PILLAR CREAM QUILT COVER SET (KING)	BEDLINES	UNIT
AK-AF RM PL CRM 5QQLT	AKE AFFINITY RIMINI PILLAR CREAM QUILT COVER SET (QUEEN)	BEDLINES	UNIT
AK-AF RM RN BLU 3SSFIT	AKE AFFINITY RIMINI RAIN BLUE FITTED SHEET SET (SUPER SINGLE)	BEDLINES	UNIT
AK-AF RM RN BLU 4KFIT	AKE AFFINITY RIMINI RAIN BLUE FITTED SHEET SET (KING)	BEDLINES	UNIT
AK-AF RM RN BLU 4QFIT	AKE AFFINITY RIMINI RAIN BLUE FITTED SHEET SET (QUEEN)	BEDLINES	UNIT
AK-AF RM RN BLU 5KQLT	AKE AFFINITY RIMINI RAIN BLUE QUILT COVER SET (KING)	BEDLINES	UNIT
AK-AF RM RN BLU 5QQLT	AKE AFFINITY RIMINI RAIN BLUE QUILT COVER SET (QUEEN)	BEDLINES	UNIT
AK-AF RM VI PUP 4KFIT	AKE AFFINITY RIMINI VINE PURPLE FITTED SHEET (KING)	BEDLINES	SET
AK-AF RM VI PUP 4QFIT	AKE AFFINITY RIMINI VINE PURPLE FITTED SHEET (QUEEN)	BEDLINES	SET
AK-APEX MATT (K)	AKEMI APEX MATTRESS (183x190x30CM)	MATTRESS	UNIT
AK-APEX MATT (Q)	AKEMI APEX MATTRESS (153x190x30CM)	MATTRESS	UNIT
AK-APEX MATT (S)	AKEMI APEX MATTRESS (91x190x30CM)	MATTRESS	UNIT
AK-APEX MATT (SK)	AKEMI APEX MATTRESS (SUPER KING) (200x200x30CM)	MATTRESS	UNIT
AK-APEX MATT (SP)	AKEMI APEX MATTRESS (SPECIAL SIZE)  (30CM)	MATTRESS	UNIT
AK-APEX MATT (SS)	AKEMI APEX MATTRESS (107x190x30CM)	MATTRESS	UNIT
AK-ARISTOI MATT (K)	AKEMI ARISTOI MATTRESS (183x190x40CM)	MATTRESS	UNIT
AK-ARISTOI MATT (Q)	AKEMI ARISTOI MATTRESS (153x190x40CM)	MATTRESS	UNIT
AK-ARISTOI MATT (S)	AKEMI ARISTOI MATTRESS (91x190x40CM)	MATTRESS	UNIT
AK-ARISTOI MATT (SK)	AKEMI ARISTOI MATTRESS (SUPER KING) ( 200X200X40CM)	MATTRESS	UNIT
AK-ARISTOI MATT (SP)	AKEMI ARISTOI MATTRESS (SPECIAL SIZE) ( X40CM)	MATTRESS	UNIT
AK-ARISTOI MATT (SS)	AKEMI ARISTOI MATTRESS (107x190x40CM)	MATTRESS	UNIT
AK-ARMOUR MATT (K)	AKEMI ARMOUR MATTRESS (183x190x30CM)	MATTRESS	UNIT
AK-ARMOUR MATT (Q)	AKEMI ARMOUR MATTRESS (153x190x30CM)	MATTRESS	UNIT
AK-ARMOUR MATT (S)	AKEMI ARMOUR MATTRESS (91x190x30CM)	MATTRESS	UNIT
AK-ARMOUR MATT (SK)	AKEMI ARMOUR MATTRESS (SUPER KING) (200X200CM)	MATTRESS	UNIT
AK-ARMOUR MATT (SP)	AKEMI ARMOUR MATTRESS (SPECIAL SIZE)	MATTRESS	UNIT
AK-ARMOUR MATT (SS)	AKEMI ARMOUR MATTRESS (107x190x30CM)	MATTRESS	UNIT
AK-AV DR ROL PACK PIL	AVANTI DREAMY PILLOW	ACC	UNIT
AK-BASTION MATT (K)	AKEMI BASTION MATTRESS (183x190x25CM)	MATTRESS	UNIT
AK-BASTION MATT (Q)	AKEMI BASTION MATTRESS (153x190x25CM)	MATTRESS	UNIT
AK-BASTION MATT (S)	AKEMI BASTION MATTRESS (91x190x25CM)	MATTRESS	UNIT
AK-BASTION MATT (SK)	AKEMI BASTION MATTRESS (SUPER KING) (200X200CM)	MATTRESS	UNIT
AK-BASTION MATT (SP)	AKEMI BASTION MATTRESS (SPECIAL SIZE)	MATTRESS	UNIT
AK-BASTION MATT (SS)	AKEMI BASTION MATTRESS (107x190x25CM)	MATTRESS	UNIT
AKBF-PEBBLE GREY (K)	AKEMI B/FRAME-PEBBLE GREY(K) (183X190CM)	BEDFRAME	SET
AKBF-PEBBLE GREY (Q)	AKEMI B/FRAME-PEBBLE GREY(Q) (152X190CM)	BEDFRAME	SET
AKBF-PEBBLE GREY (S)	AKEMI B/FRAME-PEBBLE GREY(S) (90X190CM)	BEDFRAME	SET
AKBF-PEBBLE GREY (SK)	AKEMI B/FRAME-PEBBLE GREY (SUPER KING) (200X200CM)	BEDFRAME	SET
AKBF-PEBBLE GREY (SS)	AKEMI B/FRAME-PEBBLE GREY(SS) (107X190CM)	BEDFRAME	SET
AKBF-SANDY BEACH (K)	AKEMI B/FRAME-SANDY BEACH(K) (183X190CM)	BEDFRAME	SET
AKBF-SANDY BEACH (Q)	AKEMI B/FRAME-SANDY BEACH(Q) (152X190CM)	BEDFRAME	SET
AKBF-SANDY BEACH (S)	AKEMI B/FRAME-SANDY BEACH(S) (90X190CM)	BEDFRAME	SET
AKBF-SANDY BEACH (SK)	AKEMIB/FRAME-SANDY BEACH (SUPER KING) (200X200CM)	BEDFRAME	SET
AKBF-SANDY BEACH (SS)	AKEMI B/FRAME-SANDY BEACH(SS) (107X190CM)	BEDFRAME	SET
AK-BULWARK MATT (K)	AKEMI BULWARK MATTRESS (183x190x36CM)	MATTRESS	UNIT
AK-BULWARK MATT (Q)	AKEMI BULWARK MATTRESS (153x190x36CM)	MATTRESS	UNIT
AK-BULWARK MATT (S)	AKEMI BULWARK MATTRESS (91x190x36CM)	MATTRESS	UNIT
AK-BULWARK MATT (SK)	AKEMI BULWARK MATTRESS (SUPER KING) (200x200x36CM)	MATTRESS	UNIT
AK-BULWARK MATT (SP)	AKEMI BULWARK MATTRESS (SPECIAL SIZE)	MATTRESS	UNIT
AK-BULWARK MATT (SS)	AKEMI BULWARK MATTRESS (107x190x36CM)	MATTRESS	UNIT
AK-COCOON MATT (K)	AKEMI COCOON MATTRESS (183x190x40CM)	MATTRESS	UNIT
AK-COCOON MATT (Q)	AKEMI COCOON MATTRESS (153x190x40CM)	MATTRESS	UNIT
AK-COCOON MATT (S)	AKEMI COCOON MATTRESS (91x190x40CM)	MATTRESS	UNIT
AK-COCOON MATT (SK)	AKEMI COCOON MATTRESS (SUPER KING) ( 200x200x40CM)	MATTRESS	UNIT
AK-COCOON MATT (SP)	AKEMI COCOON MATTRESS (SPECIAL SIZE) (40CM)	MATTRESS	UNIT
