ac_code	description	item_group	base_uom
AK-HM RY YLW 5QQLT	AKE HARMONY RAY YELLOW QUILT COVER (QUEEN)	BEDLINES	SET
AK-HM TF BGE 5KQLT	AKE HARMONY TOFU BEIGE QUILT COVER (KING)	BEDLINES	SET
AK-HM TF BGE 5QQLT	AKE HARMONY TOFU BEIGE QUILT COVER (QUEEN)	BEDLINES	SET
AK-HP CM MATT CVR S+AD	HAPPI SLEEP COMMUTE MATTRESS COVER SINGLE (S+AD)	ACC	UNIT
AK-HP LL AQU 4KFIT	HAPPI SLEEP LOLLIPOP AQUA FITTED SHEET SET (KING)	BEDLINES	SET
AK-HP LL AQU 4QFIT	HAPPI SLEEP LOLLIPOP AQUA FITTED SHEET SET (QUEEN)	BEDLINES	SET
AK-HP LL AQU AD BL CS	HAPPI SLEEP LOLLIPOP AQUA ADULT BOLSTER CASE	ACC	UNIT
AK-HP LL AQU AD PIL CS	HAPPI SLEEP LOLLIPOP AQUA ADULT PILLOW CASE	ACC	UNIT
AK-HP LL AQU CFT (K)	HAPPI SLEEP LOLLIPOP AQUA COMFORTER SET (KING)	BEDLINES	SET
AK-HP LL AQU CFT (SS)	HAPPI SLEEP LOLLIPOP AQUA COMFORTER SET (SUPER SINGLE)	BEDLINES	SET
AK-HP LL BRR 3SSFIT	HAPPI SLEEP LOLLIPOP BERRY FITTED SHEET SET (SUPER SINGLE)	BEDLINES	UNIT
AK-HP LL BRR 4KFIT	HAPPI SLEEP LOLLIPOP BERRY FITTED SHEET SET (KING)	BEDLINES	UNIT
AK-HP LL BRR 4QFIT	HAPPI SLEEP LOLLIPOP BERRY FITTED SHEET SET (QUEEN)	BEDLINES	UNIT
AK-HP LL BRR AD BL CS	HAPPI SLEEP LOLLIPOP BERRY ADULT BOLSTER CASE	ACC	UNIT
AK-HP LL BRR AD PIL CS	HAPPI SLEEP LOLLIPOP BERRY ADULT PILLOW CASE - 2PCS	ACC	SET
AK-HP LL BRR CFT (K)	HAPPI SLEEP LOLLIPOP BERRY COMFORTER SET (KING)	BEDLINES	UNIT
AK-HP LL BRR CFT (Q)	HAPPI SLEEP LOLLIPOP BERRY COMFORTER SET (QUEEN)	BEDLINES	UNIT
AK-HP LL BRR CFT (SS)	HAPPI SLEEP LOLLIPOP BERRY COMFORTER SET (SUPER SINGLE)	BEDLINES	UNIT
AK-HP LL GRY AD PIL CS	HAPPI SLEEP LOLLIPOP GREY ADULT PILLOW CASE	ACC	UNIT
AK-HP LL WIN 3SSFIT	HAPPI SLEEP LOLLIPOP WINE FITTED SHEET SET (SUPER SINGLE)	BEDLINES	UNIT
AK-HP LL WIN 4KFIT	HAPPI SLEEP LOLLIPOP WINE FITTED SHEET SET (KING)	BEDLINES	UNIT
AK-HP LL WIN 4QFIT	HAPPI SLEEP LOLLIPOP WINE FITTED SHEET SET (QUEEN)	BEDLINES	UNIT
AK-HP LL WIN AD BL CS	HAPPI SLEEP LOLLIPOP WINE ADULT BOLSTER CASE	ACC	UNIT
AK-HP LL WIN AD PIL CS	HAPPI SLEEP LOLLIPOP WINE ADULT PILLOW CASE - 2PCS	ACC	SET
AK-HP LL WIN CFT (K)	HAPPI SLEEP LOLLIPOP WINE COMFORTER SET (KING)	BEDLINES	UNIT
AK-HP LL WIN CFT (Q)	HAPPI SLEEP LOLLIPOP WINE COMFORTER SET (QUEEN)	BEDLINES	UNIT
AK-HP LL WIN CFT (SS)	HAPPI SLEEP LOLLIPOP WINE COMFORTER SET (SUPER SINGLE)	BEDLINES	UNIT
AK-HP LL WOD AD PIL CS	HAPPI SLEEP LOLLIPOP WOOD ADULT PILLOW CASE	ACC	UNIT
AK-HP MM VR EM GRN 3SSFIT	HAPPI SLEEP MASHMALLOW VARENIA EMERALD GREEN FITTED SHEET SET (SUPER SINGLE)	BEDLINES	UNIT
AK-HP MM VR EM GRN 4KFIT	HAPPI SLEEP MASHMALLOW VARENIA EMERALD GREEN FITTED SHEET SET (KING)	BEDLINES	UNIT
AK-HP MM VR EM GRN 4QFIT	HAPPI SLEEP MASHMALLOW VARENIA EMERALD GREEN FITTED SHEET SET (QUEEN)	BEDLINES	UNIT
AK-HP MM VR EM GRN CFT (K)	HAPPI SLEEP MASHMALLOW VARENIA EMERALD GREEN COMFORTER SET (KING)	BEDLINES	UNIT
AK-HP MM VR EM GRN CFT (Q)	HAPPI SLEEP MASHMALLOW VARENIA EMERALD GREEN COMFORTER SET (QUEEN)	BEDLINES	UNIT
AK-HP MM VR EM GRN CFT (SS)	HAPPI SLEEP MASHMALLOW VARENIA EMERALD GREEN COMFORTER SET (SUPER SINGLE)	BEDLINES	UNIT
AK-HP MM VR TR NAV 3SSFIT	HAPPI SLEEP MASHMALLOW VARENIA TRUE NAVY FITTED SHEET SET (SUPER SINGLE)	BEDLINES	UNIT
AK-HP MM VR TR NAV 4KFIT	HAPPI SLEEP MASHMALLOW VARENIA TRUE NAVY FITTED SHEET SET (KING)	BEDLINES	UNIT
AK-HP MM VR TR NAV 4QFIT	HAPPI SLEEP MASHMALLOW VARENIA TRUE NAVY FITTED SHEET SET (QUEEN)	BEDLINES	UNIT
AK-HP MM VR TR NAV CFT (K)	HAPPI SLEEP MASHMALLOW VARENIA TRUE NAVY COMFORTER SET (KING)	BEDLINES	UNIT
AK-HP MM VR TR NAV CFT (Q)	HAPPI SLEEP MASHMALLOW VARENIA TRUE NAVY COMFORTER SET (QUEEN)	BEDLINES	UNIT
AK-HP MM VR TR NAV CFT (SS)	HAPPI SLEEP MASHMALLOW VARENIA TRUE NAVY COMFORTER SET (SUPER SINGLE)	BEDLINES	UNIT
AK-HP SL ERGO PIL	HAPPI SLEEP ERGO SLEEP MICROFIBRE PILLOW	ACC	UNIT
AK-HP SL MOB MATT (Q) -2F	HAPPI SLEEP FOLDABLE MATTRESS (153x190x6CM) 2F	MATTRESS	UNIT
AK-HP SL MOB MATT (S) -2F	HAPPI SLEEP FOLDABLE MATTRESS (91x190x6CM) 2FOLD	MATTRESS	UNIT
AK-HP SL MOB MATT (S) -3F	HAPPI SLEEP FOLDABLE MATTRESS (91x190x7.5CM) 3F	MATTRESS	UNIT
AK-HP SL MOB MATT (S) -5F	HAPPI SLEEP FOLDABLE MATTRESS (91x183x5cm) 5FOLD	MATTRESS	UNIT
AK-HP SL MP (K)	HAPPI SLEEP GUARD MATTRESS PROTECTOR (KING)	ACC	UNIT
AK-HP SL MP (Q)	HAPPI SLEEP GUARD MATTRESS PROTECTOR (QUEEN)	ACC	UNIT
AK-HP SL MP (SS)	HAPPI SLEEP GUARD MATTRESS PROTECTOR (SUPER SINGLE)	ACC	UNIT
AK-HS SOLACE (K)	HAPPI SLEEP SOLACE (183x190x30CM)	MATTRESS	UNIT
AK-HS SOLACE (Q)	HAPPI SLEEP SOLACE (153x190x30CM)	MATTRESS	UNIT
AK-HS SOLACE (S)	HAPPI SLEEP SOLACE (91x190x30CM)	MATTRESS	UNIT
AK-HS SOLACE (SK)	HAPPI SLEEP SOLACE (SUPER KING) (200X200CM)	MATTRESS	UNIT
AK-HS SOLACE (SP)	HAPPI SLEEP SOLACE (SPECIAL SIZE)	MATTRESS	UNIT
AK-HS SOLACE (SS)	HAPPI SLEEP SOLACE (107x190x30CM)	MATTRESS	UNIT
AK-IMMORTAL MATT (K)	AKEMI IMMORTAL MATTRESS (183x190x36CM)	MATTRESS	UNIT
AK-IMMORTAL MATT (Q)	AKEMI IMMORTAL MATTRESS (153x190x36CM)	MATTRESS	UNIT
AK-IMMORTAL MATT (S)	AKEMI IMMORTAL MATTRESS (91x190x36CM)	MATTRESS	UNIT
AK-IMMORTAL MATT (SK)	AKEMI IMMORTAL MATTRESS (SUPER KING) (200X200X36CM)	MATTRESS	UNIT
AK-IMMORTAL MATT (SP)	AKEMI IMMORTAL MATTRESS (SPECIAL SIZE)	MATTRESS	UNIT
AK-IMMORTAL MATT (SS)	AKEMI IMMORTAL MATTRESS (107x190x36CM)	MATTRESS	UNIT
AK-LAVISH MATT (K)	AKEMI LAVISH MATTRESS (183x190x36CM)	MATTRESS	UNIT
AK-LAVISH MATT (Q)	AKEMI LAVISH MATTRESS (153x190x36CM)	MATTRESS	UNIT
AK-LAVISH MATT (S)	AKEMI LAVISH MATTRESS (91x190x36CM)	MATTRESS	UNIT
AK-LAVISH MATT (SK)	AKEMI LAVISH MATTRESS (SUPER KING) (200x200x36CM)	MATTRESS	UNIT
AK-LAVISH MATT (SP)	AKEMI LAVISH MATTRESS (SPECIAL SIZE)  (36CM)	MATTRESS	UNIT
AK-LAVISH MATT (SS)	AKEMI LAVISH MATTRESS (107x190x36CM)	MATTRESS	UNIT
AK-M+H AV SOFT TC MEM PIL (IM)	AKE M+H ALOE VERA SOFT TOUCH MEMORY PILLOW (IM) 22	ACC	UNIT
AK-MONARCH MATT (K)	AKEMI MONARCH MATTRESS (183x190x30CM)	MATTRESS	UNIT
AK-MONARCH MATT (Q)	AKEMI MONARCH MATTRESS (153x190x30CM)	MATTRESS	UNIT
AK-MONARCH MATT (S)	AKEMI MONARCH MATTRESS (91x190x30CM)	MATTRESS	UNIT
AK-MONARCH MATT (SK)	AKEMI MONARCH MATTRESS (SUPER KING) (200X200CM)	MATTRESS	UNIT
AK-MONARCH MATT (SP)	AKEMI MONARCH MATTRESS (SPECIAL SIZE)	MATTRESS	UNIT
AK-MONARCH MATT (SS)	AKEMI MONARCH MATTRESS (107x190x30CM)	MATTRESS	UNIT
AK-NA DUAL DS LTX PIL	AKE NATURALE DUAL DENSITY LATEX PILLOW	ACC	UNIT
AK-NOBILITY MATT (K)	AKEMI NOBILITY MATTRESS (183x190x25CM)	MATTRESS	UNIT
AK-NOBILITY MATT (Q)	AKEMI NOBILITY MATTRESS (153x190x25CM)	MATTRESS	UNIT
AK-NOBILITY MATT (S)	AKEMI NOBILITY MATTRESS (91x190x25CM)	MATTRESS	UNIT
AK-NOBILITY MATT (SK)	AKEMI NOBILITY MATTRESS (SUPER KING) (200X200CM)	MATTRESS	UNIT
AK-NOBILITY MATT (SP)	AKEMI NOBILITY MATTRESS (SPECIAL SIZE)	MATTRESS	UNIT
AK-NOBILITY MATT (SS)	AKEMI NOBILITY MATTRESS (107x190x25CM)	MATTRESS	UNIT
AK-NT VTL LTX PIL	AKE NATURALE SOFT VENTILATED LATEX PILLOW	ACC	UNIT
AK-OASIS MATT (K)	AKEMI OASIS MATTRESS (183x190x30CM)	MATTRESS	UNIT
AK-OASIS MATT (Q)	AKEMI OASIS MATTRESS (153x190x30CM)	MATTRESS	UNIT
AK-OASIS MATT (S)	AKEMI OASIS MATTRESS (91x190x30CM)	MATTRESS	UNIT
AK-OASIS MATT (SK)	AKEMI OASIS MATTRESS (SUPER KING) (200x200x30CM)	MATTRESS	UNIT
AK-OASIS MATT (SP)	AKEMI OASIS MATTRESS (SPECIAL SIZE)  (30CM)	MATTRESS	UNIT
AK-OASIS MATT (SS)	AKEMI OASIS MATTRESS (107x190x30CM)	MATTRESS	UNIT
AK-OL AC HILOFT PIL	AKE OUTLAST AIRCOOL HILOFT PILLOW	ACC	UNIT
AK-OL AC MEM PIL	AKE OUTLAST AIRCOOL MEMORY PILLOW	ACC	UNIT
AK-OMNIA MATT (K)	AKEMI OMNIA MATTRESS (183x190x25CM)	MATTRESS	UNIT
AK-OMNIA MATT (Q)	AKEMI OMNIA MATTRESS (153x190x25CM)	MATTRESS	UNIT
AK-OMNIA MATT (S)	AKEMI OMNIA MATTRESS (91x190x25CM)	MATTRESS	UNIT
AK-OMNIA MATT (SK)	AKEMI OMNIA MATTRESS (SUPER KING) (200x200x25CM)	MATTRESS	UNIT
AK-OMNIA MATT (SP)	AKEMI OMNIA MATTRESS (SPECIAL SIZE)  (25CM)	MATTRESS	UNIT
AK-OMNIA MATT (SS)	AKEMI OMNIA MATTRESS (107x190x25CM)	MATTRESS	UNIT
AK-PANTHEON MATT (K)	AKEMI PANTHEON MATTRESS (183x190x40CM)	MATTRESS	UNIT
AK-PANTHEON MATT (Q)	AKEMI PANTHEON MATTRESS (153x190x40CM)	MATTRESS	UNIT
AK-PANTHEON MATT (S)	AKEMI PANTHEON MATTRESS (91x190x40CM)	MATTRESS	UNIT
AK-PANTHEON MATT (SK)	AKEMI PANTHEON MATTRESS (SUPER KING) (200X200CM)	MATTRESS	UNIT
AK-PANTHEON MATT (SS)	AKEMI PANTHEON MATTRESS (107x190x40CM)	MATTRESS	UNIT
AK-PINNACLE MATT (K)	AKEMI PINNACLE MATTRESS (183x190x30CM)	MATTRESS	UNIT
AK-PINNACLE MATT (Q)	AKEMI PINNACLE MATTRESS (153x190x30CM)	MATTRESS	UNIT
AK-PINNACLE MATT (S)	AKEMI PINNACLE MATTRESS (91x190x30CM)	MATTRESS	UNIT
AK-PINNACLE MATT (SK)	AKEMI PINNACLE MATTRESS (SUPER KING) (200x200x30CM)	MATTRESS	UNIT
AK-PINNACLE MATT (SP)	AKEMI PINNACLE MATTRESS (SPECIAL SIZE)  (30CM)	MATTRESS	UNIT
AK-PINNACLE MATT (SS)	AKEMI PINNACLE MATTRESS (107x190x30CM)	MATTRESS	UNIT
AK-PRIME COOL MATT (K)	HAPPI SLEEP PRIME COOL MATTRESS (183x190x30CM)	MATTRESS	UNIT
AK-PRIME COOL MATT (Q)	HAPPI SLEEP PRIME COOL MATTRESS (153x190x30CM)	MATTRESS	UNIT
AK-PRIME COOL MATT (S)	HAPPI SLEEP PRIME COOL MATTRESS (91x190x30CM)	MATTRESS	UNIT
AK-PRIME COOL MATT (SS)	HAPPI SLEEP PRIME COOL MATTRESS (107x190x30CM)	MATTRESS	UNIT
AK-RD DIF EV lll LIN 24	AKE REED DIFFUSER EVERSENSE III LINEN 24	DIFFUSER	UNIT
AK-RD DIF EV lll LLV 24	AKE REED DIFFUSER EVERSENSE III LILYOFTHEVALLEY 24	DIFFUSER	UNIT
AK-RD DIF EV lll WHT 24	AKE REED DIFFUSER EVERSENSE III WHITE TEA 24	DIFFUSER	UNIT
AK-SANCTUM MATT (K)	AKEMI SANCTUM MATTRESS (183x190x36CM)	MATTRESS	UNIT
AK-SANCTUM MATT (Q)	AKEMI SANCTUM MATTRESS (153x190x36CM)	MATTRESS	UNIT
AK-SANCTUM MATT (S)	AKEMI SANCTUM MATTRESS (91x190x36CM)	MATTRESS	UNIT
AK-SANCTUM MATT (SK)	AKEMI SANCTUM MATTRESS (SUPER KING) (200x200x36CM)	MATTRESS	UNIT
AK-SANCTUM MATT (SP)	AKEMI SANCTUM MATTRESS (SPECIAL SIZE)  (36CM)	MATTRESS	UNIT
AK-SANCTUM MATT (SS)	AKEMI SANCTUM MATTRESS (107x190x36CM)	MATTRESS	UNIT
AK-SK + MICROFIL PIL	AKE MEDI+HEALTH SKIN + MICROFIL PILLOW	ACC	UNIT
AK-SK CT MEM FOAM PIL	AKE M+H SKIN+ CONTOUR MEMORY PILLOW	ACC	UNIT
AK-SK FX AIRLOFT PIL	AKE M+H SKIN+ FLEXI AIRLOFT PILLOW	ACC	UNIT
AK-SL ES FIT MP+PIL PRO	AKE SL. ESSENTIAL FITTED MATTRESS PROTECTOR + PILLOW PROTECTOR	ACC	UNIT
AK-SL ES LF MIC WHT QLT (K)	AKE SLEEP ESSENTIAL LOFTY MICROFIL WHT QLT (KING)	BEDLINES	UNIT
AK-SL ES LF MIC WHT QLT (Q)	AKE SLEEP ESSENTIAL LOFTY MICROFIL WHT QLT (QUEEN)	BEDLINES	UNIT
AK-SL ES LF MIC WHT QLT (SS)	AKE SLEEP ESSENTIAL LOFTY MICROFIL WHT QLT (SUPER SINGLE)	BEDLINES	UNIT
AK-SLEEP ES DENSEFIL PILLOW	AKEMI SLEEP ESSENTIALS DENSEFIL PILLOW	ACC	UNIT
AK-SLEEP ESS LUX MICD. PLUS PI	AKEMI SLEEP ESSENTIAL LUXURY MICRODOWN PLUS PILLOW	ACC	UNIT
AK-SLEEP ESSENTIAL 7 HOLES	AKEMI SLEEP ESSENTIAL 7 HOLES PILLOW	ACC	UNIT
AK-SOLITUDE MATT (K)	HAPPI SLEEP SOLITUDE MATTRESS (183x190x30CM)	MATTRESS	UNIT
AK-SOLITUDE MATT (Q)	HAPPI SLEEP SOLITUDE MATTRESS (153x190x30CM)	MATTRESS	UNIT
AK-SOLITUDE MATT (S)	HAPPI SLEEP SOLITUDE MATTRESS (91x190x30CM)	MATTRESS	UNIT
AK-SOLITUDE MATT (SK)	HAPPI SLEEP SOLITUDE MATTRESS (SUPER KING) (200X200CM)	MATTRESS	UNIT
AK-SOLITUDE MATT (SP)	HAPPI SLEEP SOLITUDE MATTRESS (SPECIAL SIZE)	MATTRESS	UNIT
AK-SOLITUDE MATT (SS)	HAPPI SLEEP SOLITUDE MATTRESS (107x190x30CM)	MATTRESS	UNIT
AK-TRANQUIL MATT (K)	AKEMI TRANQUIL MATTRESS (183x190x36CM)	MATTRESS	UNIT
AK-TRANQUIL MATT (Q)	AKEMI TRANQUIL MATTRESS (153x190x36CM)	MATTRESS	UNIT
AK-TRANQUIL MATT (S)	AKEMI TRANQUIL MATTRESS (91x190x36CM)	MATTRESS	UNIT
AK-TRANQUIL MATT (SK)	AKEMI TRANQUIL MATTRESS (SUPER KING) (200x200x36CM)	MATTRESS	UNIT
AK-TRANQUIL MATT (SP)	AKEMI TRANQUIL MATTRESS (SPECIAL SIZE)  (36CM)	MATTRESS	UNIT
AK-TRANQUIL MATT (SS)	AKEMI TRANQUIL MATTRESS (107x190x36CM)	MATTRESS	UNIT
AK-ULTIMATE MATT (K)	AKEMI ULTIMATE MATTRESS (183x190x36CM)	MATTRESS	UNIT
AK-ULTIMATE MATT (Q)	AKEMI ULTIMATE MATTRESS (153x190x36CM)	MATTRESS	UNIT
AK-ULTIMATE MATT (S)	AKEMI ULTIMATE MATTRESS (91x190x36CM)	MATTRESS	UNIT
AK-ULTIMATE MATT (SK)	AKEMI ULTIMATE MATTRESS (SUPER KING) (200X200X36CM)	MATTRESS	UNIT
AK-ULTIMATE MATT (SP)	AKEMI ULTIMATE MATTRESS (SPECIAL SIZE)	MATTRESS	UNIT
AK-ULTIMATE MATT (SS)	AKEMI ULTIMATE MATTRESS (107x190x36CM)	MATTRESS	UNIT
AK-VI OD 4KFIT	AKE VIRTUOUS ODETTE FITTED SHEET SET  (KING)	BEDLINES	unit
AK-VI OD 4QFIT	AKE VIRTUOUS ODETTE FITTED SHEET SET (QUEEN)	BEDLINES	UNIT
AK-VI OD 5KQLT	AKE VIRTUOUS ODETTE QUILT COVER SET (KING)	BEDLINES	UNIT
AK-VI OD 5QQLT	AKE VIRTUOUS ODETTE QUILT COVER SET (QUEEN)	BEDLINES	UNIT
AK-VI RT 4KFIT	AKE VIRTUOUS RONTGEN FITTED SHEET SET (KING)	BEDLINES	UNIT
AK-VI RT 4QFIT	AKE VIRTUOUS RONTGEN FITTED SHEET SET (QUEEN)	BEDLINES	UNIT
AK-VI RT 5KQLT	AKE VIRTUOUS RONTGEN QUILT COVER SET (KING)	BEDLINES	UNIT
AK-VI RT 5QQLT	AKE VIRTUOUS RONTGEN QUILT COVER SET (QUEEN)	BEDLINES	UNIT
AK-ZEN COOL MATT (K)	HAPPI SLEEP ZEN COOL MATTRESS (183x190x30CM)	MATTRESS	UNIT
AK-ZEN COOL MATT (Q)	HAPPI SLEEP ZEN COOL MATTRESS (153x190x30CM)	MATTRESS	UNIT
AK-ZEN COOL MATT (S)	HAPPI SLEEP ZEN COOL MATTRESS (91x190x30CM)	MATTRESS	UNIT
AK-ZEN COOL MATT (SS)	HAPPI SLEEP ZEN COOL MATTRESS (107x190x30CM)	MATTRESS	UNIT
AK-ZENITHAL MATT (K)	AKEMI ZENITHAL MATTRESS (183x190x40CM)	MATTRESS	UNIT
AK-ZENITHAL MATT (Q)	AKEMI ZENITHAL MATTRESS (153x190x40CM)	MATTRESS	UNIT
AK-ZENITHAL MATT (S)	AKEMI ZENITHAL MATTRESS (91x190x40CM)	MATTRESS	UNIT
AK-ZENITHAL MATT (SK)	AKEMI ZENITHAL MATTRESS (SUPER KING) (200X200CM)	MATTRESS	UNIT
AK-ZENITHAL MATT (SS)	AKEMI ZENITHAL MATTRESS (107x190x40CM)	MATTRESS	UNIT
AMN-LONG PILLOW	AMN-LONG PILLOW (12"X28")	SOFA	UNIT
AMN-SF9015 SOFA	AMN SOFA - SF9015	SOFA	SET
AMN-SF9021 SOFA	AMN SOFA - SF9021	SOFA	SET
AMN-SF9025 SOFA	AMN SOFA - SF9025	SOFA	SET
AMN-SF9027 SOFA	AMN SOFA - SF9027	SOFA	SET
AMN-SF9028 SOFA	AMN SOFA - SF9028	SOFA	SET
AMN-SF9028 SOFA 1A(RHF)	AMN-SF9028 SOFA 1A(RHF)	OTHER	UNIT
AMN-SF9028 SOFA 2A(LHF)	AMN-SF9028 SOFA 2A(LHF)	OTHER	UNIT
AMN-SF9028 SOFA CNR	AMN-SF9028 SOFA CNR	OTHER	UNIT
AMN-SF9030 SOFA	AMN SOFA - SF9030	SOFA	SET
AMN-SF9033 SOFA	AMN SOFA - SF9033	SOFA	SET
AMN-SF9036 SOFA	AMN SOFA - SF9036	SOFA	SET
AMN-SF9050 SOFA	AMN SOFA - SF9050	SOFA	UNIT
AMN-SF9050 SOFA 1A(LHF)	AMN-SF9050 SOFA 1A(LHF)	OTHER	UNIT
AMN-SF9050 SOFA 1A(RHF)	AMN-SF9050 SOFA 1A(RHF)	OTHER	UNIT
AMN-SF9050 SOFA 1NA	AMN-SF9050 SOFA 1NA	OTHER	UNIT
AMN-SF9058 SOFA	AMN SOFA - SF9058	SOFA	SET
AMN-SGABELLO	AMN SGABELLO	SOFA	UNIT
AMN-SOFA PILLOW	AMN-SOFA PILLOW (RANDOM) (FREE GIFT)	ACC	UNIT
AMN-SQUARE PILLOW	AMN-SQUARE PILLOW (16"x16") (CUSTOM)	SOFA	SET
AN-DINING CHAIR	ANNEX DINING CHAIR	DINING	UNIT
AN-DINING LEG	ANNEX DINING LEG	DINING	UNIT
AN-TABLE TOP	ANNEX TABLE TOP	DINING	UNIT
BC05-MF	BACK CUSHION 05-MF	OTHER	UNIT
BC-BC021(K)	BC-TIFFANI B/FRAME(K) (183X190CM)	BEDFRAME	SET
BC-BC021(Q)	BC-TIFFANI B/FRAME(Q) (152X190CM)	BEDFRAME	SET
BC-BC021(S)	BC-TIFFANI B/FRAME(S) (90X190CM)	BEDFRAME	SET
BC-BC021(SS)	BC-TIFFANI B/FRAME(SS) (107X190CM)	BEDFRAME	SET
BC-BC028(K)	BC-GINA B/FRAME(K) (183X190CM)	BEDFRAME	SET
BC-BC028(Q)	BC-GINA B/FRAME(Q) (152X190CM)	BEDFRAME	SET
BC-BC028(S)	BC-GINA B/FRAME(S) (90X190CM)	BEDFRAME	SET
BC-BC028(SS)	BC-GINA B/FRAME(SS) (107X190CM)	BEDFRAME	SET
BC-BC16(K)	BC-BC16 B/FRAME(K) (183X190CM)	BEDFRAME	SET
BC-BC16(Q)	BC-BC16 B/FRAME(Q) (152X190CM)	BEDFRAME	SET
BC-CB015(K)	BC-CB015 B/FRAME(K) (183X190CM)	BEDFRAME	SET
BC-CB015(Q)	BC-CB015 B/FRAME(Q) (152X190CM)	BEDFRAME	SET
BC-CB015(S)	BC-CB015 B/FRAME(S) (90X190CM)	BEDFRAME	SET
BC-CB015(SS)	BC-CB015 B/FRAME(SS) (107X190CM)	BEDFRAME	SET
BC-CB028(SS)	BC-GINA B/FRAME(SS) (107X190CM)	BEDFRAME	SET
BC-CB052A(K)	BC-HANZ B/FRAME(K) (183X190CM)	BEDFRAME	SET
BC-CB052A(Q)	BC-HANZ B/FRAME(Q) (152X190CM)	BEDFRAME	SET
BC-CB052A(S)	BC-HANZ B/FRAME(S) (90X190CM)	BEDFRAME	SET
BC-CB052A(SS)	BC-HANZ B/FRAME(SS) (90X190CM)	BEDFRAME	SET
BC-CB49	BC-PULL OUT BED CB49	BEDFRAME	SET
BC-CBK815(K)	BC-BOAT B/FRAME(K) (183X190CM)	BEDFRAME	SET
BC-CBK815(Q)	BC-BOAT B/FRAME(Q) (152X190CM)	BEDFRAME	SET
BC-CBK818(K)	BC-PRINCE B/FRAME(K) (183x190CM)	BEDFRAME	SET
BC-CBK818(SK)	BC-PRINCE B/FRAME (SUPER KING) (200X200CM)	BEDFRAME	SET
BC-F01(K)	BC-F01 B/FRAME(K) (183X190CM)	BEDFRAME	SET
BC-F01(Q)	BC-F01 B/FRAME(Q) (152X190CM)	BEDFRAME	SET
BC-F10(K)	BC-DUKE B/FRAME(K) (183X190CM)	BEDFRAME	SET
BC-F10(Q)	BC-DUKE B/FRAME(Q) (152X190CM)	BEDFRAME	SET
BC-F10(S)	BC-DUKE B/FRAME(S) (90X190CM)	BEDFRAME	SET
BC-F10(SS)	BC-DUKE B/FRAME(SS) (107X190CM)	BEDFRAME	SET
BC-G25(K)	BC-G25 B/FRAME(K) (183X190CM)	BEDFRAME	SET
BC-G25(Q)	BC-G25 B/FRAME(Q) (152X190CM)	BEDFRAME	SET
BC-G25(S)	BC-G25 B/FRAME(S) (90X190CM)	BEDFRAME	SET
BC-G25(SS)	BC-G25 B/FRAME(SS) (107X190CM)	BEDFRAME	SET
BC-G510	BC-G510 B/FRAME	BEDFRAME	SET
BC-K818(Q)	BC-PRINCE B/FRAME(Q) (152X190CM)	BEDFRAME	SET
BC-K832 (K)	BC-K832 B/FRAME(K) (183x190CM)	BEDFRAME	SET
BEDFRAME	BEDFRAME KIV	BEDFRAME	SET
CH-DC	CH DINING CHAIR	DINING	PCS
CH-DL ROD	CH DINING LEG ROUND	DINING	PCS
CH-DL RTG	CH DINING LEG RECTANGULAR	DINING	PCS
CH-DR BASIN	CH DINING ROTATING BASIN	DINING	UNIT
CH-DT ROD	CH DINING TABLE ROUND	DINING	PCS
CH-DT RTG	CH DINING TABLE RECTANGULAR	DINING	PCS
CH-ELEC ADJT BED (S)	CH ELECTRIC ADJUSTABLE BED (S) (90x190CM)	MATTRESS	SET
COFFEE TABLE	COFFEE TABLE	DINING	UNIT
CP-ELEGANCERUG 300x400 8694	CARPET ELEGANCE RUG 300x400CM Col. 8694 LT GREY/DK GREY DEMO	CARPET	UNIT
CP-SILKTOUCHRUG 200x200 LT BG	CARPET SILK TOUCH RUG 200x200CM (SINGLE LAYER SHAGGY) Col. LT BEIGE DEMO	CARPET	UNIT
CR- MICROFIBER WP MP (K)	CARRESS MIC. WATERPROOF MATT PROTECTOR (KING)	ACC	UNIT
CR- MICROFIBER WP MP (Q)	CARRESS MIC. WATERPROOF MATT PROTECTOR (QUEEN)	ACC	UNIT
CR-B1201F MATT (K)	CARRESS BREEZE FIRMCARE-B1201F -KING	MATTRESS	UNIT
CR-B1201F MATT (Q)	CARRESS BREEZE FIRMCARE-B1201F -QUEEN	MATTRESS	UNIT
CR-B1201F MATT (S)	CARRESS BREEZE FIRMCARE-B1201F -SINGLE	MATTRESS	UNIT
CR-B1201F MATT (SK)	CARRESS BREEZE FIRMCARE-B1201F -SUPER KING	MATTRESS	UNIT
CR-B1201F MATT (SP)	CARRESS BREEZE FIRMCARE-B1201F -SPECIAL SIZE	MATTRESS	UNIT
CR-B1201F MATT (SS)	CARRESS BREEZE FIRMCARE-B1201F -SUPER SINGLE	MATTRESS	UNIT
CR-B1201S MATT (K)	CARRESS BREEZE SOFTCLOUD-B1201S -KING	MATTRESS	UNIT
CR-B1201S MATT (Q)	CARRESS BREEZE SOFTCLOUD-B1201S -QUEEN	MATTRESS	UNIT
CR-B1201S MATT (S)	CARRESS BREEZE SOFTCLOUD-B1201S -SINGLE	MATTRESS	UNIT
CR-B1201S MATT (SK)	CARRESS BREEZE SOFTCLOUD-B1201S -SUPER KING	MATTRESS	UNIT
